category,link
Fresh & Chilled Food,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Food Cupboard,https://www.ocado.com/browse/food-cupboard-20424?hideOOS=true
Bakery,https://www.ocado.com/browse/bakery-25189?hideOOS=true
Frozen Food,https://www.ocado.com/browse/frozen-food-20911?hideOOS=true
"Dietary, Lifestyle & World Foods",https://www.ocado.com/browse/dietary-lifestyle-world-foods-30489?hideOOS=true
"Soft Drinks, Tea & Coffee",https://www.ocado.com/browse/soft-drinks-tea-coffee-20977?hideOOS=true
"Beer, Wine & Spirits",https://www.ocado.com/browse/beer-wine-spirits-43510?hideOOS=true
"Health, Beauty & Personal Care",https://www.ocado.com/browse/health-beauty-personal-care-21584?hideOOS=true
"Baby, Parent & Kids",https://www.ocado.com/browse/baby-parent-kids-30932?hideOOS=true
Home Care & Cleaning,https://www.ocado.com/browse/home-care-cleaning-36203?hideOOS=true
"Home, Garden & Pets",https://www.ocado.com/browse/home-garden-pets-300818?hideOOS=true
Occasions & Entertaining,https://www.ocado.com/browse/occasions-entertaining-30941?hideOOS=true
Clothing & Accessories,https://www.ocado.com/browse/clothing-accessories-148232?hideOOS=true
